"","sex","age","year","population","citizenship"
"457","Maschi",57,2019,408991,"italiani"
"458","Maschi",57,2020,415086,"italiani"
"459","Maschi",57,2021,426997,"italiani"
"460","Maschi",57,2022,459858,"italiani"
"461","Maschi",57,2023,452765,"italiani"
"462","Maschi",57,2024,452880,"italiani"
"463","Maschi",57,2025,442539,"italiani"
"464","Maschi",57,2026,438399,"italiani"
"465","Maschi",58,2019,394493,"italiani"
"466","Maschi",58,2020,407340,"italiani"
"467","Maschi",58,2021,410737,"italiani"
"468","Maschi",58,2022,428453,"italiani"
"469","Maschi",58,2023,458743,"italiani"
"470","Maschi",58,2024,451608,"italiani"
"471","Maschi",58,2025,451569,"italiani"
"472","Maschi",58,2026,441204,"italiani"
"473","Maschi",59,2019,385983,"italiani"
"474","Maschi",59,2020,392775,"italiani"
"475","Maschi",59,2021,402631,"italiani"
"476","Maschi",59,2022,411908,"italiani"
"477","Maschi",59,2023,427007,"italiani"
"478","Maschi",59,2024,457147,"italiani"
"479","Maschi",59,2025,449917,"italiani"
"480","Maschi",59,2026,449855,"italiani"
"481","Maschi",60,2019,366693,"italiani"
"482","Maschi",60,2020,384082,"italiani"
"483","Maschi",60,2021,388203,"italiani"
"484","Maschi",60,2022,403479,"italiani"
"485","Maschi",60,2023,410263,"italiani"
"486","Maschi",60,2024,425302,"italiani"
"487","Maschi",60,2025,455349,"italiani"
"488","Maschi",60,2026,447873,"italiani"
"489","Maschi",61,2019,363515,"italiani"
"490","Maschi",61,2020,364667,"italiani"
"491","Maschi",61,2021,379102,"italiani"
"492","Maschi",61,2022,388978,"italiani"
"493","Maschi",61,2023,401544,"italiani"
"494","Maschi",61,2024,408477,"italiani"
"495","Maschi",61,2025,423334,"italiani"
"496","Maschi",61,2026,453039,"italiani"
"497","Maschi",62,2019,355788,"italiani"
"498","Maschi",62,2020,361157,"italiani"
"499","Maschi",62,2021,359778,"italiani"
"500","Maschi",62,2022,379380,"italiani"
"501","Maschi",62,2023,386973,"italiani"
"502","Maschi",62,2024,399488,"italiani"
"503","Maschi",62,2025,406386,"italiani"
"504","Maschi",62,2026,420892,"italiani"
"505","Maschi",63,2019,348297,"italiani"
"506","Maschi",63,2020,353340,"italiani"
"507","Maschi",63,2021,355830,"italiani"
"508","Maschi",63,2022,359809,"italiani"
"509","Maschi",63,2023,376965,"italiani"
"510","Maschi",63,2024,384768,"italiani"
"511","Maschi",63,2025,397167,"italiani"
"512","Maschi",63,2026,403901,"italiani"
"513","Maschi",64,2019,342062,"italiani"
"514","Maschi",64,2020,345568,"italiani"
"515","Maschi",64,2021,347864,"italiani"
"516","Maschi",64,2022,355441,"italiani"
"517","Maschi",64,2023,357061,"italiani"
"518","Maschi",64,2024,374326,"italiani"
"519","Maschi",64,2025,382249,"italiani"
"520","Maschi",64,2026,394289,"italiani"
"521","Maschi",65,2019,326898,"italiani"
"522","Maschi",65,2020,339013,"italiani"
"523","Maschi",65,2021,340031,"italiani"
"524","Maschi",65,2022,347123,"italiani"
"525","Maschi",65,2023,352452,"italiani"
"526","Maschi",65,2024,354303,"italiani"
"527","Maschi",65,2025,371583,"italiani"
"528","Maschi",65,2026,379173,"italiani"
"529","Maschi",66,2019,319701,"italiani"
"530","Maschi",66,2020,323783,"italiani"
"531","Maschi",66,2021,333392,"italiani"
"532","Maschi",66,2022,338720,"italiani"
"533","Maschi",66,2023,343716,"italiani"
"534","Maschi",66,2024,349310,"italiani"
"535","Maschi",66,2025,351456,"italiani"
"536","Maschi",66,2026,368208,"italiani"
"537","Maschi",67,2019,317752,"italiani"
"538","Maschi",67,2020,316036,"italiani"
"539","Maschi",67,2021,317948,"italiani"
"540","Maschi",67,2022,331642,"italiani"
"541","Maschi",67,2023,335084,"italiani"
"542","Maschi",67,2024,340370,"italiani"
"543","Maschi",67,2025,345934,"italiani"
"544","Maschi",67,2026,347864,"italiani"
"545","Maschi",68,2019,327290,"italiani"
"546","Maschi",68,2020,313803,"italiani"
"547","Maschi",68,2021,312611,"italiani"
"548","Maschi",68,2022,316408,"italiani"
"549","Maschi",68,2023,327741,"italiani"
"550","Maschi",68,2024,331415,"italiani"
"551","Maschi",68,2025,336686,"italiani"
"552","Maschi",68,2026,342106,"italiani"
"553","Maschi",69,2019,327675,"italiani"
"554","Maschi",69,2020,322789,"italiani"
"555","Maschi",69,2021,310093,"italiani"
"556","Maschi",69,2022,307803,"italiani"
"557","Maschi",69,2023,312003,"italiani"
"558","Maschi",69,2024,323943,"italiani"
"559","Maschi",69,2025,327664,"italiani"
"560","Maschi",69,2026,332477,"italiani"
"561","Maschi",70,2019,338662,"italiani"
"562","Maschi",70,2020,322660,"italiani"
"563","Maschi",70,2021,318393,"italiani"
"564","Maschi",70,2022,304658,"italiani"
"565","Maschi",70,2023,302844,"italiani"
"566","Maschi",70,2024,307460,"italiani"
"567","Maschi",70,2025,319298,"italiani"
"568","Maschi",70,2026,322902,"italiani"
"569","Maschi",71,2019,328453,"italiani"
"570","Maschi",71,2020,332942,"italiani"
"571","Maschi",71,2021,317489,"italiani"
