year,age_mother,citizenship,asfr
2070,41,stranieri,3.7719954382757437
2070,42,stranieri,2.5647409516885733
2070,43,stranieri,1.6606140507123577
2070,44,stranieri,0.9676312526976816
2070,45,stranieri,0.5655664625603329
2070,46,stranieri,0.3248415360923016
2070,47,stranieri,0.19034745633507144
2070,48,stranieri,0.1237644158027735
2070,49,stranieri,0.08845320472273531
2070,50,stranieri,0.17619112926634226
2071,14,stranieri,0.009325691019422879
2071,15,stranieri,0.03149793234990139
2071,16,stranieri,0.32056319407759687
2071,17,stranieri,0.8085796650358011
2071,18,stranieri,2.014629229188072
2071,19,stranieri,5.005180246085994
2071,20,stranieri,8.44590500146017
2071,21,stranieri,11.31567140068535
2071,22,stranieri,13.869728965330612
2071,23,stranieri,16.141943826915362
2071,24,stranieri,18.004304043421833
2071,25,stranieri,19.11403535858039
2071,26,stranieri,19.774824359384453
2071,27,stranieri,19.78933737281666
2071,28,stranieri,19.704654002902707
2071,29,stranieri,18.697307683949532
2071,30,stranieri,17.871309447488006
2071,31,stranieri,16.96863902681776
2071,32,stranieri,15.366964705546932
2071,33,stranieri,14.116962152460484
2071,34,stranieri,12.969314429756093
2071,35,stranieri,11.608056433633584
2071,36,stranieri,10.39065597191
2071,37,stranieri,8.954753008726644
2071,38,stranieri,7.503391596172726
2071,39,stranieri,6.218912907559699
2071,40,stranieri,4.933576275911954
2071,41,stranieri,3.567137679696472
2071,42,stranieri,2.425449403939628
2071,43,stranieri,1.570425799464184
2071,44,stranieri,0.9150790233000996
2071,45,stranieri,0.5348504450720722
2071,46,stranieri,0.3071993331611825
2071,47,stranieri,0.1800096513471912
2071,48,stranieri,0.11704274786119746
2071,49,stranieri,0.08364929507990282
2071,50,stranieri,0.16662215697735325
2072,14,stranieri,0.008760751702739218
2072,15,stranieri,0.029589824914040552
2072,16,stranieri,0.301143855452829
2072,17,stranieri,0.7595968666031444
2072,18,stranieri,1.8925853765944145
2072,19,stranieri,4.701972354873085
2072,20,stranieri,7.9342620797332515
2072,21,stranieri,10.63018142942147
2072,22,stranieri,13.029517211805633
