"","sex","age","year","population","citizenship"
"483","Maschi",60,2021,17731,"stranieri"
"484","Maschi",60,2022,17126,"stranieri"
"485","Maschi",60,2023,19495,"stranieri"
"486","Maschi",60,2024,20559,"stranieri"
"487","Maschi",60,2025,22061,"stranieri"
"488","Maschi",60,2026,22988,"stranieri"
"489","Maschi",61,2019,13376,"stranieri"
"490","Maschi",61,2020,14718,"stranieri"
"491","Maschi",61,2021,15194,"stranieri"
"492","Maschi",61,2022,16849,"stranieri"
"493","Maschi",61,2023,16735,"stranieri"
"494","Maschi",61,2024,19253,"stranieri"
"495","Maschi",61,2025,20074,"stranieri"
"496","Maschi",61,2026,21521,"stranieri"
"497","Maschi",62,2019,12125,"stranieri"
"498","Maschi",62,2020,13115,"stranieri"
"499","Maschi",62,2021,14046,"stranieri"
"500","Maschi",62,2022,14475,"stranieri"
"501","Maschi",62,2023,16550,"stranieri"
"502","Maschi",62,2024,16573,"stranieri"
"503","Maschi",62,2025,18858,"stranieri"
"504","Maschi",62,2026,19543,"stranieri"
"505","Maschi",63,2019,10923,"stranieri"
"506","Maschi",63,2020,11857,"stranieri"
"507","Maschi",63,2021,12261,"stranieri"
"508","Maschi",63,2022,13335,"stranieri"
"509","Maschi",63,2023,14217,"stranieri"
"510","Maschi",63,2024,16412,"stranieri"
"511","Maschi",63,2025,16228,"stranieri"
"512","Maschi",63,2026,18321,"stranieri"
"513","Maschi",64,2019,9521,"stranieri"
"514","Maschi",64,2020,10728,"stranieri"
"515","Maschi",64,2021,11200,"stranieri"
"516","Maschi",64,2022,11645,"stranieri"
"517","Maschi",64,2023,13119,"stranieri"
"518","Maschi",64,2024,14044,"stranieri"
"519","Maschi",64,2025,16046,"stranieri"
"520","Maschi",64,2026,15816,"stranieri"
"521","Maschi",65,2019,8181,"stranieri"
"522","Maschi",65,2020,9365,"stranieri"
"523","Maschi",65,2021,10169,"stranieri"
"524","Maschi",65,2022,10551,"stranieri"
"525","Maschi",65,2023,11479,"stranieri"
"526","Maschi",65,2024,12869,"stranieri"
"527","Maschi",65,2025,13857,"stranieri"
"528","Maschi",65,2026,15607,"stranieri"
"529","Maschi",66,2019,7424,"stranieri"
"530","Maschi",66,2020,8095,"stranieri"
"531","Maschi",66,2021,8786,"stranieri"
"532","Maschi",66,2022,9585,"stranieri"
"533","Maschi",66,2023,10553,"stranieri"
"534","Maschi",66,2024,11375,"stranieri"
"535","Maschi",66,2025,12676,"stranieri"
"536","Maschi",66,2026,13490,"stranieri"
"537","Maschi",67,2019,6292,"stranieri"
"538","Maschi",67,2020,7368,"stranieri"
"539","Maschi",67,2021,7463,"stranieri"
"540","Maschi",67,2022,8138,"stranieri"
"541","Maschi",67,2023,9578,"stranieri"
"542","Maschi",67,2024,10429,"stranieri"
"543","Maschi",67,2025,11144,"stranieri"
"544","Maschi",67,2026,12331,"stranieri"
"545","Maschi",68,2019,6263,"stranieri"
"546","Maschi",68,2020,6254,"stranieri"
"547","Maschi",68,2021,6750,"stranieri"
"548","Maschi",68,2022,6899,"stranieri"
"549","Maschi",68,2023,8193,"stranieri"
"550","Maschi",68,2024,9355,"stranieri"
"551","Maschi",68,2025,10245,"stranieri"
"552","Maschi",68,2026,10788,"stranieri"
"553","Maschi",69,2019,5407,"stranieri"
"554","Maschi",69,2020,6234,"stranieri"
"555","Maschi",69,2021,5705,"stranieri"
"556","Maschi",69,2022,6343,"stranieri"
"557","Maschi",69,2023,6952,"stranieri"
"558","Maschi",69,2024,8082,"stranieri"
"559","Maschi",69,2025,9285,"stranieri"
"560","Maschi",69,2026,9895,"stranieri"
"561","Maschi",70,2019,4849,"stranieri"
"562","Maschi",70,2020,5398,"stranieri"
"563","Maschi",70,2021,5741,"stranieri"
"564","Maschi",70,2022,5341,"stranieri"
"565","Maschi",70,2023,6344,"stranieri"
"566","Maschi",70,2024,6858,"stranieri"
"567","Maschi",70,2025,7998,"stranieri"
"568","Maschi",70,2026,9028,"stranieri"
"569","Maschi",71,2019,4224,"stranieri"
"570","Maschi",71,2020,4816,"stranieri"
"571","Maschi",71,2021,4947,"stranieri"
"572","Maschi",71,2022,5350,"stranieri"
"573","Maschi",71,2023,5402,"stranieri"
"574","Maschi",71,2024,6274,"stranieri"
"575","Maschi",71,2025,6792,"stranieri"
"576","Maschi",71,2026,7778,"stranieri"
"577","Maschi",72,2019,3723,"stranieri"
"578","Maschi",72,2020,4197,"stranieri"
